DATE, VALUE
1913-01-01,100
1913-02-01,100.354
1913-03-01,100.354
1913-04-01,100
1913-05-01,100.707
1913-06-01,100.354
1913-07-01,99.3319
1913-08-01,98.6834
1913-09-01,98.3297
1913-10-01,97.6813
1913-11-01,97.357
1913-12-01,97.6813
1914-01-01,97.6813
1914-02-01,98.6834
1914-03-01,99.0077
1914-04-01,100
1914-05-01,99.3319
1914-06-01,98.6834
1914-07-01,97.6813
1914-08-01,96.4138
1914-09-01,96.0896
1914-10-01,96.7086
1914-11-01,96.4138
1914-12-01,96.7086
1915-01-01,97.0328
1915-02-01,97.6813
1915-03-01,98.6834
1915-04-01,97.6813
1915-05-01,97.357
1915-06-01,97.0328
1915-07-01,97.0328
1915-08-01,97.0328
1915-09-01,96.7086
1915-10-01,95.7654
1915-11-01,95.1562
1915-12-01,94.8615
1916-01-01,93.9477
1916-02-01,93.9477
1916-03-01,93.0635
1916-04-01,92.1792
1916-05-01,91.8845
1916-06-01,90.7447
1916-07-01,90.7447
1916-08-01,89.6542
1916-09-01,88.033
1916-10-01,87.0112
1916-11-01,85.4785
1916-12-01,84.9774
1917-01-01,84.0047
1917-02-01,82.1281
1917-03-01,81.686
1917-04-01,78.2177
1917-05-01,76.5671
1917-06-01,75.7713
1917-07-01,76.5671
1917-08-01,75.3881
1917-09-01,74.0715
1917-10-01,72.7746
1917-11-01,72.5978
1917-12-01,71.7135
1918-01-01,70.338
1918-02-01,69.6895
1918-03-01,70.0138
1918-04-01,69.1884
1918-05-01,67.8915
1918-06-01,66.6929
1918-07-01,65.0422
1918-08-01,63.9222
1918-09-01,62.4288
1918-10-01,61.3971
1918-11-01,60.3655
1918-12-01,59.5107
1919-01-01,59.3928
1919-02-01,60.7487
1919-03-01,60.0118
1919-04-01,58.931
1919-05-01,58.1057
1919-06-01,57.9878
1919-07-01,56.4256
1919-08-01,55.4824
1919-09-01,55.1582
1919-10-01,54.2543
1919-11-01,52.9868
1919-12-01,51.8668
1920-01-01,50.8646
1920-02-01,50.2555
1920-03-01,49.7544
1920-04-01,48.369
1920-05-01,47.5732
1920-06-01,46.8953
1920-07-01,47.19
1920-08-01,48.428
1920-09-01,49.0175
1920-10-01,49.2533
1920-11-01,49.5775
1920-12-01,50.6976
1921-01-01,51.572
1921-02-01,53.2816
1921-03-01,53.6648
1921-04-01,54.3427
1921-05-01,55.3645
1921-06-01,55.6887
1921-07-01,55.5708
1921-08-01,55.3645
1921-09-01,56.013
1921-10-01,56.1014
1921-11-01,56.4256
1921-12-01,56.7793
1922-01-01,57.9878
1922-02-01,58.1057
1922-03-01,58.8131
1922-04-01,58.8131
1922-05-01,58.8131
1922-06-01,58.6952
1922-07-01,58.5773
1922-08-01,59.157
1922-09-01,59.0391
1922-10-01,58.6952
1922-11-01,58.4594
1922-12-01,58.2236
1923-01-01,58.4594
1923-02-01,58.5773
1923-03-01,58.3415
1923-04-01,58.1057
1923-05-01,57.9878
1923-06-01,57.6636
1923-07-01,57.1036
1923-08-01,57.3099
1923-09-01,56.9857
1923-10-01,56.8678
1923-11-01,56.7793
1923-12-01,56.7793
1924-01-01,56.8678
1924-02-01,57.1036
1924-03-01,57.4278
1924-04-01,57.6636
1924-05-01,57.6636
1924-06-01,57.6636
1924-07-01,57.5457
1924-08-01,57.6636
1924-09-01,57.4278
1924-10-01,57.2215
1924-11-01,56.9857
1924-12-01,56.8678
1925-01-01,56.7793
1925-02-01,56.9857
1925-03-01,56.8678
1925-04-01,56.9857
1925-05-01,56.7793
1925-06-01,56.1014
1925-07-01,55.3645
